fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_,positivos_totales,tasa_positividad,tasa_positividad
2020-03-05,67,1,50,1,0.014925373134328358,0.02
2020-03-13,57,2,46,1,0.03508771929824561,0.021739130434782608
2020-03-19,67,3,67,3,0.04477611940298507,0.04477611940298507
2020-03-24,66,1,60,1,0.015151515151515152,0.016666666666666666
2020-03-26,54,1,50,1,0.018518518518518517,0.02
2020-03-27,32,4,30,4,0.125,0.13333333333333333
2020-03-28,5,1,3,1,0.2,0.3333333333333333
2020-03-29,16,5,16,6,0.3125,0.375
2020-03-30,50,3,47,2,0.06,0.0425531914893617
2020-03-31,26,4,24,4,0.15384615384615385,0.16666666666666666
2020-04-01,20,1,17,1,0.05,0.058823529411764705
2020-04-02,42,6,35,3,0.14285714285714285,0.08571428571428572
2020-04-03,31,4,24,4,0.12903225806451613,0.16666666666666666
2020-04-04,69,14,67,14,0.2028985507246377,0.208955223880597
2020-04-05,2356,538,2171,491,0.22835314091680814,0.22616305849838783
2020-04-06,946,218,808,180,0.23044397463002114,0.22277227722772278
2020-04-07,1283,174,1065,151,0.13561964146531566,0.14178403755868543
2020-04-08,1142,212,991,181,0.18563922942206654,0.18264379414732593
2020-04-09,572,109,495,91,0.19055944055944055,0.18383838383838383
2020-04-10,693,166,595,146,0.23953823953823955,0.2453781512605042
2020-04-11,237,77,223,71,0.32489451476793246,0.3183856502242152
2020-04-12,169,75,135,60,0.4437869822485207,0.4444444444444444
2020-04-13,911,277,732,232,0.3040614709110867,0.31693989071038253
2020-04-14,880,244,727,196,0.2772727272727273,0.2696011004126547
2020-04-15,877,284,760,253,0.3238312428734322,0.33289473684210524
2020-04-16,1209,334,1052,270,0.2762613730355666,0.25665399239543724
2020-04-17,1237,340,1064,289,0.274858528698464,0.2716165413533835
2020-04-18,467,92,428,85,0.19700214132762311,0.1985981308411215
2020-04-19,252,133,226,114,0.5277777777777778,0.504424778761062
2020-04-20,1110,425,932,359,0.38288288288288286,0.3851931330472103
2020-04-21,1524,463,1293,364,0.3038057742782152,0.2815158546017015
2020-04-22,1781,510,1548,432,0.28635597978663674,0.27906976744186046
2020-04-23,1374,480,1162,396,0.34934497816593885,0.3407917383820998
2020-04-24,1556,588,1323,485,0.37789203084832906,0.36659108087679515
2020-04-25,494,239,445,218,0.48380566801619435,0.4898876404494382
2020-04-26,414,170,350,146,0.4106280193236715,0.41714285714285715
2020-04-27,1634,649,1407,548,0.39718482252141984,0.3894811656005686
2020-04-28,1700,561,1402,463,0.33,0.3302425106990014
2020-04-29,1917,713,1602,602,0.37193531559728743,0.3757802746566791
2020-04-30,1889,591,1591,500,0.31286394917946003,0.3142677561282212
2020-05-01,742,240,603,190,0.32345013477088946,0.3150912106135987
2020-05-02,650,264,577,227,0.40615384615384614,0.3934142114384749
2020-05-03,555,221,499,196,0.3981981981981982,0.3927855711422846
2020-05-04,2021,753,1656,622,0.37258782780801586,0.3756038647342995
2020-05-05,1599,586,1370,508,0.36647904940587867,0.3708029197080292
2020-05-06,2175,694,1783,592,0.31908045977011495,0.3320246775098149
2020-05-07,2237,704,1842,585,0.3147071971390255,0.31758957654723124
2020-05-08,2450,921,2002,751,0.3759183673469388,0.37512487512487513
2020-05-09,798,351,684,305,0.4398496240601504,0.44590643274853803
2020-05-10,468,210,416,176,0.44871794871794873,0.4230769230769231
2020-05-11,2223,891,1756,699,0.4008097165991903,0.39806378132118453
2020-05-12,2256,941,1899,826,0.4171099290780142,0.43496577145866244
2020-05-13,2421,1112,1961,905,0.4593143329202809,0.46149923508414076
2020-05-14,2240,971,1867,798,0.43348214285714287,0.4274236743438672
2020-05-15,2680,1181,2197,969,0.4406716417910448,0.44105598543468366
2020-05-16,959,439,797,371,0.45776850886339937,0.465495608531995
2020-05-17,611,288,522,249,0.4713584288052373,0.47701149425287354
2020-05-18,2719,1183,2210,956,0.4350864288341302,0.432579185520362
2020-05-19,2564,1207,2115,995,0.4707488299531981,0.47044917257683216
2020-05-20,2687,1239,2146,1014,0.46110904354298476,0.4725069897483691
2020-05-21,2770,1232,2277,996,0.4447653429602888,0.43741765480895917
2020-05-22,2785,1227,2265,955,0.44057450628366246,0.4216335540838852
2020-05-23,921,392,805,335,0.4256243213897937,0.4161490683229814
2020-05-24,641,300,520,251,0.46801872074882994,0.4826923076923077
2020-05-25,2875,1294,2303,1030,0.45008695652173913,0.4472427268779852
2020-05-26,2905,1386,2303,1075,0.4771084337349398,0.46678245766391663
2020-05-27,3321,1450,2697,1177,0.4366154772658838,0.4364108268446422
2020-05-28,2357,1059,1953,898,0.44929995757318625,0.45980542754736303
2020-05-29,2541,1120,2164,956,0.44077134986225897,0.4417744916820702
2020-05-30,1156,547,991,472,0.4731833910034602,0.47628657921291623
2020-05-31,690,346,574,296,0.5014492753623189,0.5156794425087108
2020-06-01,3050,1469,2522,1205,0.4816393442622951,0.47779540047581287
2020-06-02,3024,1419,2382,1083,0.46924603174603174,0.45465994962216627
2020-06-03,3250,1457,2591,1109,0.4483076923076923,0.4280200694712466
2020-06-04,2802,1164,2316,954,0.41541755888650966,0.4119170984455959
2020-06-05,2920,1235,2415,1010,0.4229452054794521,0.41821946169772256
2020-06-06,1036,482,878,400,0.46525096525096526,0.45558086560364464
2020-06-07,634,294,523,257,0.4637223974763407,0.491395793499044
2020-06-08,3172,1493,2585,1199,0.4706809583858764,0.46382978723404256
2020-06-09,2983,1401,2408,1085,0.4696614146832048,0.45058139534883723
2020-06-10,3073,1370,2503,1071,0.44581841848356657,0.42788653615661204
2020-06-11,3034,1272,2414,984,0.41924851680949243,0.4076222038111019
2020-06-12,3096,1249,2533,1006,0.4034237726098191,0.39715752072641136
2020-06-13,1128,436,921,347,0.38652482269503546,0.3767643865363735
2020-06-14,855,351,672,263,0.4105263157894737,0.3913690476190476
2020-06-15,3110,1142,2517,881,0.3672025723472669,0.35001986491855386
2020-06-16,3187,1243,2630,1019,0.3900219642296831,0.38745247148288975
2020-06-17,3082,1196,2452,950,0.3880597014925373,0.38743882544861336
2020-06-18,2900,1070,2378,874,0.3689655172413793,0.3675357443229605
2020-06-19,2872,1108,2276,866,0.38579387186629527,0.3804920913884007
2020-06-20,980,364,803,300,0.37142857142857144,0.37359900373599003
2020-06-21,728,294,602,245,0.40384615384615385,0.4069767441860465
2020-06-22,2736,1103,2202,859,0.4031432748538012,0.39009990917347864
2020-06-23,2809,1074,2341,882,0.3823424706301175,0.37676206749252455
2020-06-24,2704,1069,2275,890,0.3953402366863905,0.3912087912087912
2020-06-25,2866,1084,2364,876,0.3782274947662247,0.37055837563451777
2020-06-26,2925,1075,2420,878,0.36752136752136755,0.3628099173553719
2020-06-27,895,360,716,286,0.4022346368715084,0.3994413407821229
2020-06-28,704,241,535,198,0.34232954545454547,0.37009345794392523
2020-06-29,3736,1385,2997,1069,0.37071734475374735,0.35669002335669003
2020-06-30,3306,1285,2662,1011,0.38868723532970356,0.37978963185574754
2020-07-01,3238,1247,2659,990,0.38511426806670784,0.3723204212109816
2020-07-02,2863,1106,2370,904,0.3863080684596577,0.38143459915611816
2020-07-03,3362,1205,2830,983,0.3584176085663296,0.3473498233215548
2020-07-04,1024,354,885,304,0.345703125,0.34350282485875705
